Model,RMSE (mm/day),R-squared (R2)
ANN,3.3835511123984543,0.6803282696166446
XGBoost,3.4186957322454288,0.6736529819356369
Hybrid (Optimized),3.425831668281686,0.6722891741540797
Random Forest,3.461210636507485,0.6654856071998467
LightGBM,3.4644687313987466,0.6648555429190954
Stacking Ensemble,3.4866203453617937,0.6605560525803076
Prophet,4.685744203163503,0.3869217595635879
SARIMAX,4.8415774216470995,0.3454655476183728
LSTM,5.837764629806225,0.0632526985704126
GRU,5.859386979260859,0.05630065812888896
Baseline - Persistence (t-1),6.593147612210328,-0.21379221427496908
Baseline - Seasonal Naive (t-365d),7.663661112960757,-0.6399527413000115
